en1	fi1	en2	fi2	score
A group of people playing soccer on a soccer field in front of a crowd.	Joukko ihmisiä pelaa jalkapalloa jalkapallokentällä väkijoukon edessä.	A group of men playing soccer in a stadium full of people.	Ryhmä miehiä pelaa jalkapalloa stadionilla, joka on täynnä ihmisiä.	3.000000
A man is enjoying watching three asian children dance.	Mies nauttii kolmen aasialaisen lapsen tanssimisen katsomisesta.	A man is watching three asian kids dance.	Mies katselee kolmen aasialaisen lapsen tanssia.	4.600000
A girl is talking to her dad on a cellphone.	Tyttö puhuu isänsä kanssa matkapuhelimessa.	a girl is talking on her phone.	tyttö puhuu puhelimeensa.	4.400000
One person wields an umbrella.	Yksi henkilö käyttää sateenvarjoa.	One person is holding an umbrella.	Yhdellä henkilöllä on sateenvarjo.	4.400000
A woman walking down the side of a highway.	Nainen kävelemässä valtatien reunalla.	A man is standing on one feet on a bridge.	Mies seisoo yhdellä jalalla sillalla.	0.400000
A group of teenagers jumping and having a good time.	Ryhmä nuoria hyppii ja pitää hauskaa.	A group of kids having a good time.	Ryhmä lapsia pitää hauskaa.	3.600000
A man calling for a taxi at the airport on a sunny day.	Mies soittaa taksia lentokentältä aurinkoisena päivänä.	A man is outside on a July day.	Mies on ulkona heinäkuun päivänä.	1.400000
A man is playing his guitar at Joe's Cafe.	Mies soittaa kitaraansa Joe's Cafessa.	The man is playing the drums for his mom.	Mies soittaa rumpuja äidilleen.	1.200000
A young boy has a red fishing pole.	Nuorella pojalla on punainen onkivapa.	A young boy stands over a bridge with a fishing pole.	Nuori poika seisoo sillalla onkivavan kanssa.	3.000000
A player bounces a ball.	Pelaaja pompottaa palloa.	A player catching a ball.	Pelaaja ottaa kiinni palloa.	1.600000
Someone is on a blanket.	Joku on huovalla.	The person is making a blanket.	Henkilö tekee huopaa.	1.400000
Men competing in a contest.	Miehet kisaavat kilpailussa.	Two women compete in a contest.	Kaksi naista kilpailee kilpailussa.	2.400000
The puppy is outdoor.	Pentu on ulkona.	A man in printed board shorts is doing a yoga pose on the beach.	Mies printtishortseissa poseeraa jooga-asennossa rannalla.	0.000000
The man has a orange shirt.	Miehellä on oranssi paita.	The woman has a orange shirt.	Naisella on oranssi paita.	3.400000
The two kids look at the products sold inside the subway shop.	Kaksi lasta katsovat tuotteita, joita myydään metrokaupassa.	The kids are stealing from a store.	Lapset varastavat kaupasta.	0.800000
The baby boy wants his mother.	Poikavauva haluaa äitinsä.	A baby boy is happy to see his mother.	Poikavauva on iloinen nähdessään äitinsä.	2.800000
A young girl in a pink jacket is playing a board game.	Nuori tyttö, jolla on vaaleanpunainen takki, pelaa lautapeliä.	A boy in a jacket playing.	Takillinen poika pelaa.	1.600000
A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.	Hymyilevä valkoihoinen mies sinimustassa raidallisessa paidassa ottaa valokuvaa.	A man in a white shirt and black pants is smiling.	Mies valkoisessa paidassa ja mustissa housuissa hymyilee.	1.600000
A person is scaling a rock wall.	Henkilö kiipeää kallioseinää.	A person and a horse are above a fence.	Henkilö ja hevonen ovat aidan yläpuolella.	0.200000
A boy is very close to a girl.	Poika on hyvin lähellä tyttöä.	A girl is close to a boy whose face is not shown.	Tyttö on lähellä poikaa, jonka kasvoja ei näy.	3.200000
Two men are playing a game of Scrabble together.	Kaksi miestä pelaa Scrabble-peliä yhdessä.	The two women are playing a game.	Kaksi naista pelaavat peliä.	2.200000
Six children are cleaning a room.	Kuusi lasta siivoaa huonetta.	Two male children cleaning up leaves in a parking lot.	Kaksi miespuolista lasta siivoaa lehtiä parkkipaikalla.	1.600000
The girl is very skilled and practices a lot.	Tyttö on erittäin taitava ja harjoittelee paljon.	The man is very skilled.	Mies on erittäin taitava.	2.000000
Many guards are standing in front of the starting line of a race.	Useat vartijat seisovat kilpailun lähtöviivan edessä.	Two men in business dress are standing by the side of a road.	Kaksi liikemekossa olevaa miestä seisoo tien reunalla.	0.400000
There is a cook preparing food.	On kokki, joka valmistaa ruokaa.	A cook is making food.	Kokki valmistaa ruokaa.	5.000000
Two men are helping a boy.	Kaksi miestä auttaa poikaa.	Two men are with a young child.	Kaksi miestä on pienen lapsen kanssa.	3.600000
A man at a farmers market.	Mies viljelijämarkkinoilla.	A man is at a farmers market.	Mies on viljelijöiden markkinoilla.	4.800000
four people walk toward a tower	neljä ihmistä kävelee kohti tornia	Two men walk toward a dome-shaped building.	Kaksi miestä kävelee kohti kupolin muotoista rakennusta.	2.000000
A little girl and boy are reading books.	Pieni tyttö ja poika lukevat kirjoja.	An older child is playing with a doll while gazing out the window.	Vanhempi lapsi leikkii nukella katsellen ikkunasta.	0.200000
The child would like to swim.	Lapsi haluaisi uida.	The children want to swim.	Lapset haluavat uida.	3.800000
Two skiing people are doing cross country skiing.	Kaksi hiihtäjää hiihtää murtomaahiihtoa.	People skiing cross country.	Ihmiset hiihtävät maastohiihtoa.	3.600000
A dog taking a poop in the street.	Koira tekee jätökset kadulle.	A man making balloon animals for two children on a street corner.	Mies tekee ilmapalloeläimiä kahdelle lapselle kadun kulmassa.	0.400000
Men are fighting after a basketball game.	Miehet tappelevat koripallopelin jälkeen.	The men are playing a game of basketball.	Miehet pelaavat koripalloa.	2.200000
A kid is talking in class.	Lapsi puhuu luokassa.	A girl is going to class.	Tyttö menee luokkaan.	1.800000
The women are trying to sell something to the individual.	Naiset yrittävät myydä jotain yksilölle.	The men are trying to make some money.	Miehet yrittävät ansaita rahaa.	1.200000
People are waiting for the fireworks to start.	Ihmiset odottavat ilotulitusten alkamista.	Three people are waiting for the rain to stop.	Kolme ihmistä odottaa sateen loppumista.	1.200000
A dog prepares to herd three sheep with horns.	Koira valmistautuu paimentamaan kolmea sarvekasta lammasta.	A dog and sheep run together.	Koira ja lammas juoksevat yhdessä.	2.200000
People are sitting around dimly lit tables while smiling and laughing.	Ihmiset istuvat hämärästi valaistujen pöytien ympärillä hymyillen ja nauraen.	People are sitting on benches.	Ihmiset istuvat penkillä.	2.000000
A dog is chasing cows.	Koira jahtaa lehmiä.	A white dog is chasing cows.	Valkoinen koira jahtaa lehmiä.	4.000000
One football player tries to tackle a player on the opposing team.	Yksi jalkapallopelaaja yrittää taklata pelaajaa vastustajajoukkueesta.	A football player attempts a tackle.	Jalkapalloilija yrittää taklausta.	4.600000
Three men are drying to pull a Subaru out of a ditch along a mountain road.	Kolme miestä yrittää vetää Subarua ojasta vuoristotien varressa.	Two men are waiting for a ride on the side of a dirt road.	Kaksi miestä odottaa kyytiä hiekkatien reunassa.	1.400000
A woman doesn't have her arms up because she's paralyzed from the neck down	Naisella ei ole kädet ylhäällä, sillä hän on halvaantunut kaulasta alaspäin	A woman is sitting on the steps because she tripped and hurt her ankle.	Nainen istuu portailla, koska hän kompastui ja loukkasi nilkkansa.	0.800000
People gathered in a room.	Ihmiset kokoontuivat huoneeseen.	People gathered together in a room.	Ihmiset kokoontuivat yhteen huoneeseen.	5.000000
The woman in overalls paints a picture for her wall.	Haalareissa oleva nainen maalaa kuvaa seinälleen.	A woman is painting her wall white.	Nainen maalaa seinäänsä valkoiseksi.	2.600000
Adding aspirin to the water could kill the plant.	Aspiriinin lisääminen veteen voi tappaa kasvin.	Men are trying to remove oil from a body of water.	Miehet yrittävät poistaa öljyä vesistöstä.	0.000000
Five kids are standing in front of a tent.	Viisi lasta seisoo teltan edessä.	People are out sitting in front of a garden.	Ihmiset istuskelevat ulkona puutarhan edessä.	0.600000
Female in a maroon shirt engaged in conversation with another female in a tan blazer.	Nainen kastanjanruskeassa paidassa keskusteli toisen naisen kanssa ruskeassa bleiserissä.	A girl in a blue dress and another girl in a purple dress, both smiling.	Tyttö sinisessä mekossa ja toinen tyttö violetissa mekossa, molemmat hymyilevät.	1.200000
Baseball players playing a game at the park.	Baseball-pelaajat pelaavat peliä puistossa.	A basketball player, playing in the home coming game.	Koripalloilija, joka pelaa kotipelissä.	1.600000
They are preparing for a performance at school.	He valmistautuvat esitykseen koulussa.	Two medical professionals in green look on at something.	Kaksi lääketieteen ammattilaista vihreissä asuissa tarkastelee jotain.	0.000000
The woman is wearing yellow.	Nainen on pukeutunut keltaiseen.	The woman is wearing red.	Nainen on pukeutunut punaiseen.	2.800000
Some smiling children are standing in front of an ocean sunset.	Hymyileviä lapsia seisoo valtameren auringonlaskun edessä.	People walking in the dark.	Ihmiset kävelevät pimeässä.	0.600000
A man is doing a stunt on his bicycle.	Mies tekee temppua polkupyörällä.	A man is doing a wheelie on his motorcycle.	Mies keulii moottoripyörällä.	3.200000
Ten people riding ATVs.	Kymmenen ihmistä ajaa mönkijöillä.	4 people are riding bikes	4 henkilöä ajaa polkupyörällä	1.600000
Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.	Kaksi kalastajaa yrittää selvittää suuren kalaverkonsa tien reunalla pilvisenä päivänä.	Several men pull a fishing net up on to the beach.	Useat miehet vetävät kalaverkon ylös rannalle.	3.000000
A yellow vested person is doing road work.	Keltaliivinen henkilö tekee tietöitä.	A person is doing very well on their skateboard.	Henkilö skeittaa todella hyvin.	0.200000
The woman had brown hair.	The woman had brown hair.	The woman has gray hair.	Naisella on harmaat hiukset.	2.400000
Black and white image of a wave crashing in the ocean.	Mustavalkoinen kuva aallosta, joka kaatuu meressä.	a small black dog in the ocean with some rocks in the background	pieni musta koira meressä taustallaan kiviä	0.600000
A lady and her daughter look through a microscope.	Nainen ja hänen tyttärensä katsovat mikroskoopin läpi.	A girl and a lady both looking through a microscope.	Tyttö ja nainen katsovat molemmat mikroskoopin läpi.	4.600000
Two workers are sitting next to pipes eating lunch	Kaksi työntekijää istuu putkien vieressä syömässä lounasta	The construction workers are sitting down to eat lunch.	Rakennustyöläiset istuvat syömään lounasta.	3.800000
A boy does a skateboard trick on the stairs downtown.	Poika tekee skeittitempun alas portaita kaupungilla.	a boy is running on the sidewalk	poika juoksee jalkakäytävällä	0.600000
A group of people living in the desert	Ryhmä ihmisiä asumassa autiomaassa	A group of people in the middle of the desert.	Ryhmä ihmisiä keskellä autiomaata.	4.000000
Two kids are swimming.	Kaksi lasta ui.	Six kids are going swimming.	Kuusi lasta menossa uimaan.	2.800000
Three humans are walking a dog.	Kolme ihmistä kävelyttää koiraa.	Three people are walking a dog.	Kolme ihmistä ulkoiluttaa koiraa.	4.800000
There are people out on the street.	Kadulla on ihmisiä.	People are out on the street.	Ihmiset ovat kadulla.	5.000000
people getting their dirty clothes cleaned	ihmiset pesettävät likaiset vaatteensa	People are getting their clothes cleaned.	Ihmiset pesettävät vaatteitaan.	5.000000
Two women are lost and calling for help.	Kaksi naista on eksyksissä ja huutavat apua.	Two Asian men are gathering materials for their business and their child had to come with them.	Kaksi aasialaista miestä kerää materiaalia liiketoimintaansa, ja heidän lapsensa piti tulla heidän kanssaan.	0.200000
A man is throwing a penny into a fountain.	Mies heittää pennin suihkulähteeseen.	A little boy is throwing a man in water.	Pieni poika heittää miehen veteen.	0.600000
The children are holding musical instruments.	Lapset pitelevät soittimia.	A group of children are singing and playing instruments	Ryhmä lapsia laulaa ja soittaa instrumentteja	3.400000
Two girls are playing Doctor inside their house.	Kaksi tyttöä leikkii lääkärileikkiä talossaan.	The two girls are walking with their father.	Kaksi tyttöä kävelevät isänsä kanssa.	0.800000
A crowd of men wearing paper numbers on their shirts run in a race.	Joukko miehiä paperinumerot paidoissaan juoksevat kilpailussa.	Several men running down a grass field wearing numbers on the front of their shirts.	Useita miehiä juoksemassa pitkin ruohokenttää numerot paitojen etumuksissa.	3.600000
A group of people are wearing police uniforms conducting an arrest.	Ryhmä ihmisiä poliisin virkapuvuissa suorittavat pidätystä.	A group of police officers are wearing protection.	Ryhmä poliiseja on suojavarusteissa.	2.800000
The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.	Hedelmät tulisi syödä sitruunamehun kanssa mahalaukun hapettumisen estämiseksi.	three dogs growling On one another	kolme koiraa murisee toisilleen	0.000000
A doctor prescribes medicine to a patient.	Lääkäri määrää lääkettä potilaalle.	A doctor prescribes a medicine.	Lääkäri määrää lääkkeen.	4.400000
A woman is in the bathroom.	Nainen on kylpyhuoneessa.	The woman is in a bathroom.	Nainen on kylpyhuoneessa.	4.600000
Spectators taking pictures of a rally car.	Katsojat ottavat kuvia ralliautosta.	A crowd of people watching cars race down the track.	Joukko ihmisiä seuraa autojen kilpailua radalla. 	2.800000
The man and woman are resting on a couch.	Mies ja nainen lepäävät sohvalla.	A man and woman are asleep on the couch.	Mies ja nainen ovat sohvalla unessa.	4.000000
